transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
EXC-1036,2024-01-02T05:05:22Z,SELL,AVAX,10.766,35.03,0.00227773,Rebalancing
EXC-1305,2024-01-03T09:17:40Z,BUY,ETH,6.2054,3491.24,0.00158593,
EXC-1432,2024-01-04T23:33:38Z,BUY,ADA,2410.19,0.47,0.9339496,
EXC-1044,2024-01-04T23:49:34Z,TRANSFER_OUT,XRP,2313.26,,2.60350299,Sent to cold storage
EXC-1358,2024-01-05T23:27:32Z,BUY,UNI,45.6463,11.27,0.00760095,
EXC-1377,2024-01-06T04:01:22Z,BUY,LINK,4.7439,17.98,0.0023276,
EXC-1313,2024-01-06T20:16:27Z,BUY,ETH,4.967,3516.01,0.00412608,
EXC-1351,2024-01-07T16:10:49Z,BUY,MATIC,2098.95,0.88,0.80250793,
EXC-1394,2024-01-10T21:56:25Z,SELL,AVAX,38.6399,39.71,0.02610083,Stop-loss triggered
EXC-1376,2024-01-11T13:46:43Z,BUY,SOL,21.6059,152.41,0.01486622,
EXC-1264,2024-01-11T13:59:05Z,SELL,ADA,650.74,0.5,0.19250237,Rebalancing
EXC-1234,2024-01-12T07:43:37Z,BUY,LINK,18.7607,15.86,0.00442163,
EXC-1100,2024-01-12T12:30:12Z,WITHDRAWAL,ADA,3764.86,0.68,3.20614685,Wire transfer out
EXC-1274,2024-01-13T03:17:06Z,DEPOSIT,XRP,3273.09,0.68,1.92266584,SEPA deposit
EXC-1169,2024-01-14T01:56:16Z,SELL,ETH,12.5071,3308.17,0.01420814,Stop-loss triggered
EXC-1533,2024-01-14T05:14:40Z,SELL,SOL,9.7189,188.28,0.00999905,Profit taking
EXC-1479,2024-01-14T19:57:22Z,SELL,MATIC,1112.84,0.69,0.49393101,Profit taking
EXC-1235,2024-01-16T06:00:41Z,BUY,ETH,12.5893,3369.93,0.01234947,
EXC-1157,2024-01-16T16:26:42Z,TRANSFER_IN,SOL,31.4496,,0.03454971,Bridge transfer in
EXC-1454,2024-01-18T11:27:46Z,DEPOSIT,UNI,33.7386,6.92,0.03130331,Fiat deposit via bank
EXC-1199,2024-01-19T00:19:13Z,SELL,XRP,3407.18,0.63,2.39620432,Stop-loss triggered
EXC-1146,2024-01-19T05:40:00Z,TRANSFER_IN,ETH,6.6607,,0.00585277,Received from user wallet
EXC-1154,2024-01-20T10:07:31Z,TRANSFER_IN,XRP,90.08,,0.09533353,Bridge transfer in
EXC-1086,2024-01-20T21:41:12Z,SELL,BTC,0.21078,53715.61,0.00022347,Profit taking
EXC-1034,2024-01-21T00:31:02Z,BUY,ADA,4378.71,0.44,4.37180634,
EXC-1218,2024-01-21T17:04:55Z,STAKING_REWARD,DOT,20.4976,,0.01035714,ADA staking payout
EXC-1109,2024-01-22T13:13:09Z,BUY,SOL,15.1832,172.04,0.00429551,
EXC-1448,2024-01-23T20:43:21Z,TRANSFER_IN,ETH,4.6594,,0.00283925,Received from user wallet
EXC-1038,2024-01-24T02:06:13Z,CONVERSION,LINK,33.1274,16.87,0.01157447,Auto-conversion
EXC-1492,2024-01-24T12:06:06Z,DEPOSIT,MATIC,3598.84,1.06,3.73019151,Wire transfer deposit
EXC-1119,2024-01-24T12:52:00Z,BUY,ADA,3255.79,0.85,3.31427284,
EXC-1339,2024-01-25T01:09:58Z,BUY,SOL,49.2862,147.76,0.02879488,
EXC-1215,2024-01-25T09:42:16Z,BUY,UNI,32.6267,8.57,0.02118812,
EXC-1080,2024-01-25T13:21:30Z,BUY,ADA,367.93,0.6,0.26481456,
EXC-1379,2024-01-25T22:41:33Z,SELL,DOT,8.5581,7.61,0.00369562,Profit taking
EXC-1265,2024-01-26T21:49:00Z,SELL,UNI,18.5087,12.43,0.01349709,
EXC-1211,2024-01-27T21:28:26Z,WITHDRAWAL,UNI,16.2281,13.77,0.00782107,Wire transfer out
EXC-1435,2024-01-27T22:38:32Z,BUY,DOT,38.6957,10.52,0.01121415,
EXC-1040,2024-01-27T23:39:54Z,SELL,LINK,7.9559,21.61,0.00186261,Profit taking
EXC-1029,2024-01-28T21:26:18Z,TRANSFER_IN,ADA,383.63,,0.070198,Incoming from cold storage
EXC-1493,2024-01-29T13:02:36Z,BUY,UNI,35.2643,7.13,0.00939676,
EXC-1327,2024-01-29T17:41:04Z,DEPOSIT,BTC,0.99048,66126.5,0.00092421,SEPA deposit
EXC-1388,2024-01-30T02:24:18Z,SELL,XRP,1248.0,0.65,1.12444577,Rebalancing
EXC-1499,2024-01-31T14:12:37Z,TRANSFER_IN,ETH,14.051,,0.00418264,Bridge transfer in
EXC-1322,2024-01-31T16:58:12Z,BUY,UNI,43.6694,6.65,0.02703509,
EXC-1410,2024-02-02T11:32:45Z,TRANSFER_OUT,DOT,35.5361,,0.02189181,Sent to cold storage
EXC-1023,2024-02-03T15:20:52Z,SELL,XRP,1235.29,0.52,0.92118638,
EXC-1514,2024-02-03T15:51:00Z,BUY,XRP,2843.02,0.5,2.50553789,
EXC-1437,2024-02-04T00:59:27Z,TRANSFER_OUT,DOT,30.8422,,0.01895263,Sent to cold storage
