"category","userRow","exchangeRow","reason"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae86"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae87"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae88"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae89"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae8a"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""bitcoin"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae8b"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae8c"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae8d"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae8e"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae8f"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae90"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae91"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae92"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""MATIC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae93"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae94"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae95"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae96"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae97"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae98"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae99"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae9a"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae9b"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ecc160e704c0a78aae9c"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""LINK"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ecc160e704c0a78aae85"",""__v"":0}","N/A","No matching transaction found in exchange file"
