"category","userRow","exchangeRow","reason"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaeba"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaebb"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaebc"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaebd"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaebe"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""bitcoin"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaebf"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaec0"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaec1"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaec2"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13eccf60e704c0a78aaec3"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13eccf60e704c0a78aaeb9"",""__v"":0}","N/A","No matching transaction found in exchange file"
