"category","userRow","exchangeRow","reason"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db714"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db715"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db716"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db717"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db718"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""bitcoin"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db719"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db71a"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db71b"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db71c"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db71d"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db71e"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db71f"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db720"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""MATIC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db721"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db722"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db723"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db724"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db725"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db726"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db727"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db728"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db729"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db72a"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""LINK"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db72b"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""MATIC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db72c"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""UNKNOWN"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13ed43b7512d7d4f5db72d"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db72e"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db72f"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db730"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db731"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""TRANSFER_IN"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db732"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db733"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db734"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db735"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db736"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""TRANSFER_IN"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db737"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db738"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db739"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
"Unmatched (Exchange only)","N/A","{""_id"":""6a13ed43b7512d7d4f5db73a"",""source"":""EXCHANGE"",""externalId"":""UNKNOWN"",""asset"":""MATIC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13ed43b7512d7d4f5db713"",""__v"":0}","No matching transaction found in user file"
