"category","userRow","exchangeRow","reason"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db748"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db749"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db74a"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db74b"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db74c"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""bitcoin"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db74d"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""USDT"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db74e"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""SELL"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db74f"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""SOL"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db750"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""BTC"",""type"":""TRANSFER_OUT"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
"Unmatched (User only)","{""_id"":""6a13edbdb7512d7d4f5db751"",""source"":""USER"",""externalId"":""UNKNOWN"",""asset"":""ETH"",""type"":""BUY"",""status"":""INVALID"",""invalidReason"":""Missing required fields (txId, asset, or type)"",""runId"":""6a13edbdb7512d7d4f5db747"",""__v"":0}","N/A","No matching transaction found in exchange file"
