"category","reason","user_txId","user_timestamp","user_asset","user_quantity","user_type","exchange_txId","exchange_timestamp","exchange_asset","exchange_quantity","exchange_type"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"bitcoin",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"USDT",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"SOL",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"SOL",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"MATIC",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"USDT",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"SOL",,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"ETH",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"LINK",,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"MATIC",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"UNKNOWN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","UNKNOWN",,"BTC",,"BUY","N/A","N/A","N/A","N/A","N/A"
