"category","reason","user_txId","user_timestamp","user_asset","user_quantity","user_type","exchange_txId","exchange_timestamp","exchange_asset","exchange_quantity","exchange_type"
"Matched","Successfully matched within tolerances","USR-001","2024-03-01T09:00:00.000Z","BTC",0.5,"BUY","EXC-1001","2024-03-01T09:00:32.000Z","BTC",0.5,"BUY"
"Matched","Successfully matched within tolerances","USR-002","2024-03-01T11:30:00.000Z","ETH",2,"BUY","EXC-1002","2024-03-01T11:30:00.000Z","ETH",2,"BUY"
"Matched","Successfully matched within tolerances","USR-003","2024-03-02T08:15:00.000Z","BTC",0.1,"SELL","EXC-1003","2024-03-02T08:15:10.000Z","BTC",0.1,"SELL"
"Matched","Successfully matched within tolerances","USR-004","2024-03-02T14:45:00.000Z","ETH",1,"TRANSFER_OUT","EXC-1004","2024-03-02T14:45:00.000Z","ETH",1,"TRANSFER_IN"
"Matched","Successfully matched within tolerances","USR-005","2024-03-03T10:00:00.000Z","bitcoin",0.25,"BUY","EXC-1005","2024-03-03T10:02:00.000Z","BTC",0.25,"BUY"
"Matched","Successfully matched within tolerances","USR-006","2024-03-03T16:20:00.000Z","USDT",500,"BUY","EXC-1006","2024-03-03T16:20:00.000Z","USDT",500,"BUY"
"Matched","Successfully matched within tolerances","USR-007","2024-03-04T09:05:00.000Z","ETH",0.5,"SELL","EXC-1007","2024-03-04T09:05:55.000Z","ETH",0.5,"SELL"
"Matched","Successfully matched within tolerances","USR-008","2024-03-04T12:00:00.000Z","SOL",10,"BUY","EXC-1008","2024-03-04T12:00:00.000Z","SOL",10,"BUY"
"Matched","Successfully matched within tolerances","USR-009","2024-03-05T08:30:00.000Z","BTC",0.05,"TRANSFER_OUT","EXC-1009","2024-03-05T08:30:00.000Z","BTC",0.05,"TRANSFER_IN"
"Matched","Successfully matched within tolerances","USR-010","2024-03-05T15:00:00.000Z","ETH",1.5,"BUY","EXC-1010","2024-03-05T15:00:00.000Z","ETH",1.5,"BUY"
"Matched","Successfully matched within tolerances","USR-011","2024-03-06T10:15:00.000Z","SOL",5,"SELL","EXC-1011","2024-03-06T10:15:00.000Z","SOL",5,"SELL"
"Conflicting","Quantity difference (0.0333%) exceeds tolerance","USR-012","2024-03-06T13:30:00.000Z","BTC",0.3,"BUY","EXC-1012","2024-03-06T13:30:00.000Z","BTC",0.3001,"BUY"
"Matched","Successfully matched within tolerances","USR-013","2024-03-07T09:45:00.000Z","MATIC",200,"BUY","EXC-1013","2024-03-07T09:45:00.000Z","MATIC",200,"BUY"
"Matched","Successfully matched within tolerances","USR-014","2024-03-07T14:00:00.000Z","USDT",200,"SELL","EXC-1014","2024-03-07T14:00:00.000Z","USDT",200,"SELL"
"Matched","Successfully matched within tolerances","USR-015","2024-03-08T11:00:00.000Z","ETH",0.8,"BUY","EXC-1015","2024-03-08T11:00:00.000Z","ETH",0.8,"BUY"
"Matched","Successfully matched within tolerances","USR-016","2024-03-08T16:45:00.000Z","SOL",3,"TRANSFER_OUT","EXC-1016","2024-03-08T16:45:00.000Z","SOL",3,"TRANSFER_IN"
"Matched","Successfully matched within tolerances","USR-017","2024-03-09T10:30:00.000Z","BTC",0.2,"BUY","EXC-1017","2024-03-09T10:30:00.000Z","BTC",0.2,"BUY"
"Matched","Successfully matched within tolerances","USR-020","2024-03-10T13:00:00.000Z","BTC",0.15,"SELL","EXC-1019","2024-03-10T13:00:00.000Z","BTC",0.15,"SELL"
"Matched","Successfully matched within tolerances","USR-021","2024-03-11T09:00:00.000Z","ETH",1,"BUY","EXC-1020","2024-03-11T09:00:00.000Z","ETH",1,"BUY"
"Matched","Successfully matched within tolerances","USR-022","2024-03-11T15:20:00.000Z","LINK",50,"BUY","EXC-1021","2024-03-11T15:20:00.000Z","LINK",50,"BUY"
"Matched","Successfully matched within tolerances","USR-023","2024-03-12T10:00:00.000Z","MATIC",100,"SELL","EXC-1022","2024-03-12T10:00:00.000Z","MATIC",100,"SELL"
"Matched","Successfully matched within tolerances","USR-025","2024-03-13T09:15:00.000Z","BTC",0.35,"BUY","EXC-1023","2024-03-13T09:15:00.000Z","BTC",0.35,"BUY"
"Unmatched (User only)","No matching transaction found in exchange file","USR-001","2024-03-01T09:00:00.000Z","BTC",0.5,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Invalid timestamp: 2024-03-09T","USR-018",,"ETH",,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-019","2024-03-10T08:00:00.000Z","BTC",-0.1,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","Missing required fields (txId, asset, or type)","USR-024",,"BTC",,"UNKNOWN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (Exchange only)","No matching transaction found in user file","N/A","N/A","N/A","N/A","N/A","EXC-1018","2024-03-09T17:00:00.000Z","ETH",0.3,"SELL"
"Unmatched (Exchange only)","No matching transaction found in user file","N/A","N/A","N/A","N/A","N/A","EXC-1024","2024-03-13T18:00:00.000Z","ETH",0.6,"BUY"
"Unmatched (Exchange only)","No matching transaction found in user file","N/A","N/A","N/A","N/A","N/A","EXC-1025","2024-03-14T10:00:00.000Z","BTC",0.2,"SELL"
