"category","reason","user_txId","user_timestamp","user_asset","user_quantity","user_type","exchange_txId","exchange_timestamp","exchange_asset","exchange_quantity","exchange_type"
"Conflicting","Both timestamp (2594s) and quantity (68.1031%) exceed tolerance","USR-172","2024-08-01T08:46:22.000Z","ETH",5.9617,"TRANSFER_OUT","EXC-1182","2024-08-01T08:03:08.000Z","ETH",1.9016,"TRANSFER_IN"
"Conflicting","Quantity difference (70.4577%) exceeds tolerance","USR-489","2024-11-10T17:54:55.000Z","XRP",3327.36,"SELL","EXC-1334","2024-11-10T17:53:00.000Z","XRP",982.98,"SELL"
"Unmatched (User only)","No matching transaction found in exchange file","USR-329","2024-01-01T16:51:36.000Z","SOL",42.64,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-370","2024-01-02T19:31:17.000Z","DOT",13.3952,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-304","2024-01-02T23:18:24.000Z","AVAX",19.4407,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-436","2024-01-03T01:01:32.000Z","SOL",47.3947,"EARN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-473","2024-01-03T01:20:54.000Z","ADA",3593.27,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-146","2024-01-05T03:37:36.000Z","MATIC",2091.51,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-086","2024-01-05T16:55:38.000Z","SOL",14.973,"REFERRAL_BONUS","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-277","2024-01-06T02:47:04.000Z","ETH",14.4069,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-460","2024-01-06T09:12:53.000Z","MATIC",524.38,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-239","2024-01-06T17:00:12.000Z","ADA",4747.26,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-244","2024-01-08T18:49:22.000Z","XRP",3331.76,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-199","2024-01-09T16:01:22.000Z","MATIC",4037.35,"AIRDROP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-186","2024-01-09T23:16:29.000Z","ADA",1637.19,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-496","2024-01-11T19:43:28.000Z","UNI",2.3514,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-345","2024-01-11T23:26:11.000Z","SOL",28.6857,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-465","2024-01-12T13:03:29.000Z","UNI",26.2037,"SWAP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-470","2024-01-12T17:42:53.000Z","UNI",10.3495,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-403","2024-01-13T20:08:35.000Z","ADA",3178.5,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-137","2024-01-15T09:06:50.000Z","LINK",34.9526,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-120","2024-01-16T12:50:49.000Z","SOL",30.315,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-151","2024-01-17T18:55:15.000Z","ETH",9.9547,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-397","2024-01-18T04:44:53.000Z","bitcoin",0.71338,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-032","2024-01-19T05:29:35.000Z","SOL",24.2057,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-162","2024-01-19T21:40:58.000Z","MATIC",3937.4,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-457","2024-01-20T07:03:20.000Z","SOL",17.9335,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-280","2024-01-20T08:57:22.000Z","LINK",13.9778,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-002","2024-01-22T05:18:19.000Z","MATIC",1339.77,"SWAP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-351","2024-01-22T11:21:10.000Z","AVAX",36.3274,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-197","2024-01-24T14:08:40.000Z","ETH",7.5038,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-104","2024-01-25T18:54:30.000Z","MATIC",250.08,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-082","2024-01-25T22:25:01.000Z","DOT",33.6976,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-421","2024-01-25T23:38:36.000Z","MATIC",4494.77,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-133","2024-01-26T06:16:23.000Z","BTC",2.05832,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-011","2024-01-26T17:31:08.000Z","XRP",688.21,"SWAP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-297","2024-01-27T02:09:00.000Z","ADA",2908.12,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-243","2024-01-27T05:44:11.000Z","UNI",13.6369,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-398","2024-01-28T21:27:30.000Z","BTC",0.44054,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-110","2024-01-31T07:30:51.000Z","UNI",0.4292,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-467","2024-01-31T13:32:43.000Z","SOL",49.0574,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-212","2024-01-31T15:24:37.000Z","BTC",0.66527,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-313","2024-01-31T21:05:53.000Z","MATIC",4096.34,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-038","2024-01-31T23:45:15.000Z","BTC",1.37669,"AIRDROP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-168","2024-02-01T02:22:35.000Z","MATIC",2137.99,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-076","2024-02-02T08:30:54.000Z","AVAX",2.2882,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-115","2024-02-03T16:14:02.000Z","UNI",48.4653,"REFERRAL_BONUS","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-286","2024-02-04T10:08:28.000Z","ADA",3494.36,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-250","2024-02-04T11:18:31.000Z","ADA",800.96,"REFERRAL_BONUS","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-448","2024-02-04T17:23:51.000Z","LINK",49.3333,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-223","2024-02-06T01:37:04.000Z","XRP",1867.06,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-400","2024-02-08T11:01:26.000Z","MATIC",1188.81,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-461","2024-02-10T03:36:13.000Z","XRP",1896.42,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-060","2024-02-10T04:10:58.000Z","XRP",1059.8,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-318","2024-02-10T08:23:51.000Z","SOL",14.1846,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-305","2024-02-10T09:59:16.000Z","BTC",1.48612,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-367","2024-02-11T15:19:08.000Z","ETH",11.5329,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-045","2024-02-11T21:57:12.000Z","ETH",7.3914,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-238","2024-02-14T00:22:49.000Z","ADA",1038.44,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-194","2024-02-14T05:34:10.000Z","AVAX",31.9621,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-338","2024-02-14T07:46:06.000Z","MATIC",215.64,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-419","2024-02-14T11:26:03.000Z","ETH",11.6059,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-072","2024-02-14T22:17:09.000Z","UNI",26.5719,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-255","2024-02-16T08:26:58.000Z","SOL",15.9431,"EARN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-361","2024-02-16T23:16:03.000Z","ADA",4754.92,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-476","2024-02-18T09:10:44.000Z","DOT",21.2622,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-174","2024-02-21T08:35:28.000Z","DOT",15.5376,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-029","2024-02-21T20:05:50.000Z","AVAX",40.015,"SWAP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-048","2024-02-22T15:53:54.000Z","ETH",6.7631,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-113","2024-02-22T16:43:08.000Z","DOT",1.2201,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-270","2024-02-22T22:08:58.000Z","LINK",5.7473,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-004","2024-02-23T17:20:13.000Z","DOT",26.5389,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-260","2024-02-23T18:42:41.000Z","MATIC",960.68,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-130","2024-02-23T23:53:30.000Z","UNI",17.2834,"AIRDROP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-464","2024-02-24T08:42:15.000Z","ETH",1.9772,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-439","2024-02-24T12:31:09.000Z","AVAX",17.0004,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-005","2024-02-25T23:56:45.000Z","MATIC",2075.5,"AIRDROP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-237","2024-02-27T00:07:36.000Z","UNI",41.097,"AIRDROP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-434","2024-02-27T19:56:24.000Z","SOL",10.3373,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-035","2024-02-28T02:33:35.000Z","AVAX",17.3529,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-380","2024-02-28T05:20:54.000Z","LINK",22.9727,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-511","2024-02-28T19:30:24.000Z","LINK",10.1123,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-425","2024-02-28T19:44:37.000Z","ETH",4.1464,"REFERRAL_BONUS","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-187","2024-02-28T21:28:25.000Z","ETH",1.8843,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-487","2024-02-29T16:36:31.000Z","ETH",0.411,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-173","2024-03-01T16:15:43.000Z","DOT",26.2467,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-294","2024-03-01T17:18:18.000Z","AVAX",45.8165,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-247","2024-03-02T08:23:42.000Z","Bitcoin",0.76301,"EARN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-132","2024-03-03T19:11:12.000Z","MATIC",4014.23,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-412","2024-03-04T05:06:42.000Z","XRP",1233.36,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-013","2024-03-05T09:49:32.000Z","SOL",17.2024,"SWAP","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-117","2024-03-06T12:16:46.000Z","UNI",41.0406,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-094","2024-03-06T20:50:03.000Z","UNI",28.3864,"TRANSFER_IN","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-236","2024-03-07T02:34:24.000Z","ADA",1637.65,"SELL","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-404","2024-03-07T20:42:42.000Z","BTC",0.27866,"TRANSFER_OUT","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-165","2024-03-09T03:49:11.000Z","ETH",10.197,"BUY","N/A","N/A","N/A","N/A","N/A"
"Unmatched (User only)","No matching transaction found in exchange file","USR-432","2024-03-09T11:28:03.000Z","SOL",30.9696,"BUY","N/A","N/A","N/A","N/A","N/A"
