transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
USR-329,2024-01-01T16:51:36Z,SELL,SOL,42.64,88.11,0.05805461,
USR-370,2024-01-02T19:31:17Z,BUY,DOT,13.3952,10.2,0.01830407,Limit order filled
USR-304,2024-01-02T23:18:24Z,TRANSFER_OUT,AVAX,19.4407,,0.02548159,Sent to hardware wallet
USR-436,2024-01-03T01:01:32Z,EARN,SOL,47.3947,,0.06630214,Staking yield
USR-473,2024-01-03T01:20:54Z,BUY,ADA,3593.27,0.88,1.2234468,Limit order filled
USR-146,2024-01-05T03:37:36Z,TRANSFER_OUT,MATIC,2091.51,,1.24305712,Sent to exchange
USR-086,2024-01-05T16:55:38Z,REFERRAL_BONUS,SOL,14.973,,0.02009031,Friend signup bonus
USR-277,2024-01-06T02:47:04Z,TRANSFER_IN,ETH,14.4069,,0.00151195,Incoming from hardware wallet
USR-460,2024-01-06T09:12:53Z,TRANSFER_IN,MATIC,524.38,,0.4782688,Received from exchange
USR-239,2024-01-06T17:00:12Z,TRANSFER_OUT,ADA,4747.26,,6.63392354,Moved to cold storage
USR-244,2024-01-08T18:49:22Z,SELL,XRP,3331.76,0.72,2.01340522,
USR-199,2024-01-09T16:01:22Z,AIRDROP,MATIC,4037.35,,2.88350144,Project airdrop
USR-186,2024-01-09T23:16:29Z,TRANSFER_IN,ADA,1637.19,,0.51245525,Portfolio consolidation
USR-496,2024-01-11T19:43:28Z,BUY,UNI,2.3514,12.7,0.00138363,Limit order filled
USR-345,2024-01-11T23:26:11Z,SELL,SOL,28.6857,165.32,0.01458537,Stop triggered
USR-465,2024-01-12T13:03:29Z,SWAP,UNI,26.2037,13.76,0.00893782,Jupiter swap
USR-470,2024-01-12T17:42:53Z,BUY,UNI,10.3495,13.21,0.00371231,Dip buy
USR-403,2024-01-13T20:08:35Z,BUY,ADA,3178.5,0.89,1.21766824,Monthly DCA
USR-137,2024-01-15T09:06:50Z,TRANSFER_IN,LINK,34.9526,,0.03359875,Portfolio consolidation
USR-120,2024-01-16T12:50:49Z,SELL,SOL,30.315,103.06,0.04129665,Stop triggered
USR-151,2024-01-17T18:55:15Z,BUY,ETH,9.9547,3304.89,0.01164642,Limit order filled
USR-397,2024-01-18T04:44:53Z,BUY,bitcoin,0.71338,53909.49,0.00040521,Market order
USR-032,2024-01-19T05:29:35Z,BUY,SOL,24.2057,143.46,0.03249934,Market order
USR-162,2024-01-19T21:40:58Z,SELL,MATIC,3937.4,0.75,3.49244952,Stop triggered
USR-457,2024-01-20T07:03:20Z,SELL,SOL,17.9335,86.88,0.01086104,Full exit
USR-280,2024-01-20T08:57:22Z,BUY,LINK,13.9778,18.29,0.01744667,Monthly DCA
USR-002,2024-01-22T05:18:19Z,SWAP,MATIC,1339.77,0.75,1.73058016,1inch aggregator
USR-351,2024-01-22T11:21:10Z,SELL,AVAX,36.3274,29.18,0.03301653,Full exit
USR-197,2024-01-24T14:08:40Z,BUY,ETH,7.5038,3434.7,0.00430561,
USR-104,2024-01-25T18:54:30Z,TRANSFER_OUT,MATIC,250.08,,0.29160862,Sent to hardware wallet
USR-082,2024-01-25T22:25:01Z,BUY,DOT,33.6976,9.21,0.03362993,Limit order filled
USR-421,2024-01-25T23:38:36Z,BUY,MATIC,4494.77,0.85,3.1108338,
USR-133,2024-01-26T06:16:23Z,SELL,BTC,2.05832,55093.4,0.00193553,
USR-011,2024-01-26T17:31:08Z,SWAP,XRP,688.21,0.57,0.63600168,Uniswap trade
USR-297,2024-01-27T02:09:00Z,SELL,ADA,2908.12,0.57,4.0209442,Full exit
USR-243,2024-01-27T05:44:11Z,TRANSFER_OUT,UNI,13.6369,,0.01024056,Sent to hardware wallet
USR-398,2024-01-28T21:27:30Z,BUY,BTC,0.44054,65135.74,0.00034322,
USR-110,2024-01-31T07:30:51Z,SELL,UNI,0.4292,13.06,0.00030725,Partial exit
USR-467,2024-01-31T13:32:43Z,BUY,SOL,49.0574,135.22,0.05731048,
USR-212,2024-01-31T15:24:37Z,SELL,BTC,0.66527,41300.9,0.00013208,Full exit
USR-313,2024-01-31T21:05:53Z,SELL,MATIC,4096.34,0.96,4.25699178,Stop triggered
USR-038,2024-01-31T23:45:15Z,AIRDROP,BTC,1.37669,,0.00086744,Project airdrop
USR-168,2024-02-01T02:22:35Z,BUY,MATIC,2137.99,0.91,1.42535904,
USR-076,2024-02-02T08:30:54Z,SELL,AVAX,2.2882,47.46,0.00084553,Stop triggered
USR-115,2024-02-03T16:14:02Z,REFERRAL_BONUS,UNI,48.4653,,0.04811014,Friend signup bonus
USR-286,2024-02-04T10:08:28Z,SELL,ADA,3494.36,0.71,0.8841539,Stop triggered
